"Game Number","Team 1","Team 2","Winner","Team 1 is Winner of","Team 2 is Winner of","Team 1 is Loser of","Team 2 is Loser of","Num Ots","Cupdifs"
"1","Hutsu & Kalu","Team Khaeisch"," "," "," "," "," ","0","0"
"2","M&A Kotiranta Oy","6-1"," "," "," "," "," ","0","0"
"3","Tähdenlento","Lieksan juntit"," "," "," "," "," ","0","0"
"4","πber bp","Cupittaa :D"," "," "," "," "," ","0","0"
"5","Ponteva","Tuli ja Liike"," "," "," "," "," ","0","0"
"6","Hold my beer","Hunajapallot"," "," "," "," "," ","0","0"
"7","Pätkä & Pätkä","Hoitsupong"," "," "," "," "," ","0","0"
"8","Beauty and the Beast","Beer Pong Artists"," "," "," "," "," ","0","0"
"9","HC Kuppala","VVVH"," "," "," "," "," ","0","0"
"10","Juhani&Juhani","Rainbow Unicorns"," "," "," "," "," ","0","0"
"11","Buffalo","Trashman"," "," "," "," "," ","0","0"
"12","Kepän-pojat","SeveeenOtto"," "," "," "," "," ","0","0"
"13","Lähteenkorvat","Pablo sekä ville"," "," "," "," "," ","0","0"
"14","Riski ja Tuotto","Sjampone"," "," "," "," "," ","0","0"
"15","Beer Hunters","Ajokunto"," "," "," "," "," ","0","0"
"16","Team","Tää :D"," "," "," "," "," ","0","0"
"17","Menkää Töihin","Fibeli"," "," "," "," "," ","0","0"
"18","Dynamic Duo","LePi"," "," "," "," "," ","0","0"
"19","Verkot on tulevaisuus","GSU Darras Taas"," "," "," "," "," ","0","0"
"20","Pienet Pallerot","Star Frame"," "," "," "," "," ","0","0"
"21","Pyhän Katariinan Neitsyet","Lpr Mombasa"," "," "," "," "," ","0","0"
"22","DicciHiiret","Veli Auta!"," "," "," "," "," ","0","0"
"23","Game of throws","Salotie"," "," "," "," "," ","0","0"
"24","Kohtuporat","El Farso"," "," "," "," "," ","0","0"
"25","Hole in one","Thibot"," "," "," "," "," ","0","0"
"26","Bergans","ikikinq"," "," "," "," "," ","0","0"
"27","BJs","MiNi"," "," "," "," "," ","0","0"
"28","Team Lokki","KOFF"," "," "," "," "," ","0","0"
"29","Pharmabong","Oldies But Goldies"," "," "," "," "," ","0","0"
"30","Bolt Throwers","Siwzzfinnishboys"," "," "," "," "," ","0","0"
"31","Pöydänpään karvaajat","Los PilluMatadorit"," "," "," "," "," ","0","0"
"32","Longshot Strike Bois","Mug Riders"," "," "," "," "," ","0","0"
"33","Spurgos","Kill Shot"," "," "," "," "," ","0","0"
"34","Kim Pong-un","OG-Pöllötin"," "," "," "," "," ","0","0"
"35","Squirrel barrel","one shot one kill"," "," "," "," "," ","0","0"
"36","Pehmeät jänikset","Muna ja Kana"," "," "," "," "," ","0","0"
"37","Tehotytöt","Stay hydrated"," "," "," "," "," ","0","0"
"38","PP","Q_Q"," "," "," "," "," ","0","0"
"39","Helppoo ja Kivaa","Tuttisuut"," "," "," "," "," ","0","0"
"40","Last Warning","Nahkaparonit"," "," "," "," "," ","0","0"
"41","Brunchies","Heavenly Peace Gods from Heaven 777"," "," "," "," "," ","0","0"
"42","Birch Bark Alley Official","Börsta khæisch"," "," "," "," "," ","0","0"
"43","Stralina","Super Team Dynamiitti"," "," "," "," "," ","0","0"
"44","Bollinger","Nettisankarit"," "," "," "," "," ","0","0"
"45","Nopeet Pongit","Terhospruits"," "," "," "," "," ","0","0"
"46","Diggoo","Balotalli & kannettava"," "," "," "," "," ","0","0"
"47","Corona Storm","Team Cup Hunters"," "," "," "," "," ","0","0"
"48","Ohuet Pohkeet","BPC Niskalima"," "," "," "," "," ","0","0"
"49","M&A Kotiranta Oy","Hutsu & Kalu"," "," "," "," "," ","0","0"
"50","Team Khaeisch","Tähdenlento"," "," "," "," "," ","0","0"
"51","6-1","πber bp"," "," "," "," "," ","0","0"
"52","Lieksan juntit","Ponteva"," "," "," "," "," ","0","0"
"53","Cupittaa :D","Hold my beer"," "," "," "," "," ","0","0"
"54","Tuli ja Liike","Pätkä & Pätkä"," "," "," "," "," ","0","0"
"55","Hunajapallot","Beauty and the Beast"," "," "," "," "," ","0","0"
"56","Hoitsupong","HC Kuppala"," "," "," "," "," ","0","0"
"57","Beer Pong Artists","Juhani&Juhani"," "," "," "," "," ","0","0"
"58","VVVH","Buffalo"," "," "," "," "," ","0","0"
"59","Rainbow Unicorns","Kepän-pojat"," "," "," "," "," ","0","0"
"60","Trashman","Lähteenkorvat"," "," "," "," "," ","0","0"
"61","SeveeenOtto","Riski ja Tuotto"," "," "," "," "," ","0","0"
"62","Pablo sekä ville","Beer Hunters"," "," "," "," "," ","0","0"
"63","Sjampone","Team"," "," "," "," "," ","0","0"
"64","Ajokunto","Menkää Töihin"," "," "," "," "," ","0","0"
"65","Tää :D","Dynamic Duo"," "," "," "," "," ","0","0"
"66","Fibeli","Verkot on tulevaisuus"," "," "," "," "," ","0","0"
"67","LePi","Pienet Pallerot"," "," "," "," "," ","0","0"
"68","GSU Darras Taas","Pyhän Katariinan Neitsyet"," "," "," "," "," ","0","0"
"69","Star Frame","DicciHiiret"," "," "," "," "," ","0","0"
"70","Lpr Mombasa","Game of throws"," "," "," "," "," ","0","0"
"71","Veli Auta!","Kohtuporat"," "," "," "," "," ","0","0"
"72","Salotie","Hole in one"," "," "," "," "," ","0","0"
"73","El Farso","Bergans"," "," "," "," "," ","0","0"
"74","Thibot","BJs"," "," "," "," "," ","0","0"
"75","ikikinq","Team Lokki"," "," "," "," "," ","0","0"
"76","MiNi","Pharmabong"," "," "," "," "," ","0","0"
"77","KOFF","Bolt Throwers"," "," "," "," "," ","0","0"
"78","Oldies But Goldies","Pöydänpään karvaajat"," "," "," "," "," ","0","0"
"79","Siwzzfinnishboys","Longshot Strike Bois"," "," "," "," "," ","0","0"
"80","Los PilluMatadorit","Spurgos"," "," "," "," "," ","0","0"
"81","Mug Riders","Kim Pong-un"," "," "," "," "," ","0","0"
"82","Kill Shot","Squirrel barrel"," "," "," "," "," ","0","0"
"83","OG-Pöllötin","Pehmeät jänikset"," "," "," "," "," ","0","0"
"84","one shot one kill","Tehotytöt"," "," "," "," "," ","0","0"
"85","Muna ja Kana","PP"," "," "," "," "," ","0","0"
"86","Stay hydrated","Helppoo ja Kivaa"," "," "," "," "," ","0","0"
"87","Q_Q","Last Warning"," "," "," "," "," ","0","0"
"88","Tuttisuut","Brunchies"," "," "," "," "," ","0","0"
"89","Nahkaparonit","Birch Bark Alley Official"," "," "," "," "," ","0","0"
"90","Heavenly Peace Gods from Heaven 777","Stralina"," "," "," "," "," ","0","0"
"91","Börsta khæisch","Bollinger"," "," "," "," "," ","0","0"
"92","Super Team Dynamiitti","Nopeet Pongit"," "," "," "," "," ","0","0"
"93","Nettisankarit","Diggoo"," "," "," "," "," ","0","0"
"94","Terhospruits","Corona Storm"," "," "," "," "," ","0","0"
"95","Balotalli & kannettava","Ohuet Pohkeet"," "," "," "," "," ","0","0"
"96","Team Cup Hunters","BPC Niskalima"," "," "," "," "," ","0","0"
"97","Hutsu & Kalu","Tähdenlento"," "," "," "," "," ","0","0"
"98","πber bp","M&A Kotiranta Oy"," "," "," "," "," ","0","0"
"99","Ponteva","Team Khaeisch"," "," "," "," "," ","0","0"
"100","Hold my beer","6-1"," "," "," "," "," ","0","0"
"101","Pätkä & Pätkä","Lieksan juntit"," "," "," "," "," ","0","0"
"102","Beauty and the Beast","Cupittaa :D"," "," "," "," "," ","0","0"
"103","HC Kuppala","Tuli ja Liike"," "," "," "," "," ","0","0"
"104","Juhani&Juhani","Hunajapallot"," "," "," "," "," ","0","0"
"105","Buffalo","Hoitsupong"," "," "," "," "," ","0","0"
"106","Kepän-pojat","Beer Pong Artists"," "," "," "," "," ","0","0"
"107","Lähteenkorvat","VVVH"," "," "," "," "," ","0","0"
"108","Riski ja Tuotto","Rainbow Unicorns"," "," "," "," "," ","0","0"
"109","Beer Hunters","Trashman"," "," "," "," "," ","0","0"
"110","Team","SeveeenOtto"," "," "," "," "," ","0","0"
"111","Menkää Töihin","Pablo sekä ville"," "," "," "," "," ","0","0"
"112","Dynamic Duo","Sjampone"," "," "," "," "," ","0","0"
"113","Verkot on tulevaisuus","Ajokunto"," "," "," "," "," ","0","0"
"114","Pienet Pallerot","Tää :D"," "," "," "," "," ","0","0"
"115","Pyhän Katariinan Neitsyet","Fibeli"," "," "," "," "," ","0","0"
"116","DicciHiiret","LePi"," "," "," "," "," ","0","0"
"117","Game of throws","GSU Darras Taas"," "," "," "," "," ","0","0"
"118","Kohtuporat","Star Frame"," "," "," "," "," ","0","0"
"119","Hole in one","Lpr Mombasa"," "," "," "," "," ","0","0"
"120","Bergans","Veli Auta!"," "," "," "," "," ","0","0"
"121","BJs","Salotie"," "," "," "," "," ","0","0"
"122","Team Lokki","El Farso"," "," "," "," "," ","0","0"
"123","Pharmabong","Thibot"," "," "," "," "," ","0","0"
"124","Bolt Throwers","ikikinq"," "," "," "," "," ","0","0"
"125","Pöydänpään karvaajat","MiNi"," "," "," "," "," ","0","0"
"126","Longshot Strike Bois","KOFF"," "," "," "," "," ","0","0"
"127","Spurgos","Oldies But Goldies"," "," "," "," "," ","0","0"
"128","Kim Pong-un","Siwzzfinnishboys"," "," "," "," "," ","0","0"
"129","Squirrel barrel","Los PilluMatadorit"," "," "," "," "," ","0","0"
"130","Pehmeät jänikset","Mug Riders"," "," "," "," "," ","0","0"
"131","Tehotytöt","Kill Shot"," "," "," "," "," ","0","0"
"132","PP","OG-Pöllötin"," "," "," "," "," ","0","0"
"133","Helppoo ja Kivaa","one shot one kill"," "," "," "," "," ","0","0"
"134","Last Warning","Muna ja Kana"," "," "," "," "," ","0","0"
"135","Brunchies","Stay hydrated"," "," "," "," "," ","0","0"
"136","Birch Bark Alley Official","Q_Q"," "," "," "," "," ","0","0"
"137","Stralina","Tuttisuut"," "," "," "," "," ","0","0"
"138","Bollinger","Nahkaparonit"," "," "," "," "," ","0","0"
"139","Nopeet Pongit","Heavenly Peace Gods from Heaven 777"," "," "," "," "," ","0","0"
"140","Diggoo","Börsta khæisch"," "," "," "," "," ","0","0"
"141","Corona Storm","Super Team Dynamiitti"," "," "," "," "," ","0","0"
"142","Ohuet Pohkeet","Nettisankarit"," "," "," "," "," ","0","0"
"143","BPC Niskalima","Terhospruits"," "," "," "," "," ","0","0"
"144","Team Cup Hunters","Balotalli & kannettava"," "," "," "," "," ","0","0"
"145","πber bp","Hutsu & Kalu"," "," "," "," "," ","0","0"
"146","Tähdenlento","Ponteva"," "," "," "," "," ","0","0"
"147","M&A Kotiranta Oy","Hold my beer"," "," "," "," "," ","0","0"
"148","Team Khaeisch","Pätkä & Pätkä"," "," "," "," "," ","0","0"
"149","6-1","Beauty and the Beast"," "," "," "," "," ","0","0"
"150","Lieksan juntit","HC Kuppala"," "," "," "," "," ","0","0"
"151","Cupittaa :D","Juhani&Juhani"," "," "," "," "," ","0","0"
"152","Tuli ja Liike","Buffalo"," "," "," "," "," ","0","0"
"153","Hunajapallot","Kepän-pojat"," "," "," "," "," ","0","0"
"154","Hoitsupong","Lähteenkorvat"," "," "," "," "," ","0","0"
"155","Beer Pong Artists","Riski ja Tuotto"," "," "," "," "," ","0","0"
"156","VVVH","Beer Hunters"," "," "," "," "," ","0","0"
"157","Rainbow Unicorns","Team"," "," "," "," "," ","0","0"
"158","Trashman","Menkää Töihin"," "," "," "," "," ","0","0"
"159","SeveeenOtto","Dynamic Duo"," "," "," "," "," ","0","0"
"160","Pablo sekä ville","Verkot on tulevaisuus"," "," "," "," "," ","0","0"
"161","Sjampone","Pienet Pallerot"," "," "," "," "," ","0","0"
"162","Ajokunto","Pyhän Katariinan Neitsyet"," "," "," "," "," ","0","0"
"163","Tää :D","DicciHiiret"," "," "," "," "," ","0","0"
"164","Fibeli","Game of throws"," "," "," "," "," ","0","0"
"165","LePi","Kohtuporat"," "," "," "," "," ","0","0"
"166","GSU Darras Taas","Hole in one"," "," "," "," "," ","0","0"
"167","Star Frame","Bergans"," "," "," "," "," ","0","0"
"168","Lpr Mombasa","BJs"," "," "," "," "," ","0","0"
"169","Veli Auta!","Team Lokki"," "," "," "," "," ","0","0"
"170","Salotie","Pharmabong"," "," "," "," "," ","0","0"
"171","El Farso","Bolt Throwers"," "," "," "," "," ","0","0"
"172","Thibot","Pöydänpään karvaajat"," "," "," "," "," ","0","0"
"173","ikikinq","Longshot Strike Bois"," "," "," "," "," ","0","0"
"174","MiNi","Spurgos"," "," "," "," "," ","0","0"
"175","KOFF","Kim Pong-un"," "," "," "," "," ","0","0"
"176","Oldies But Goldies","Squirrel barrel"," "," "," "," "," ","0","0"
"177","Siwzzfinnishboys","Pehmeät jänikset"," "," "," "," "," ","0","0"
"178","Los PilluMatadorit","Tehotytöt"," "," "," "," "," ","0","0"
"179","Mug Riders","PP"," "," "," "," "," ","0","0"
"180","Kill Shot","Helppoo ja Kivaa"," "," "," "," "," ","0","0"
"181","OG-Pöllötin","Last Warning"," "," "," "," "," ","0","0"
"182","one shot one kill","Brunchies"," "," "," "," "," ","0","0"
"183","Muna ja Kana","Birch Bark Alley Official"," "," "," "," "," ","0","0"
"184","Stay hydrated","Stralina"," "," "," "," "," ","0","0"
"185","Q_Q","Bollinger"," "," "," "," "," ","0","0"
"186","Tuttisuut","Nopeet Pongit"," "," "," "," "," ","0","0"
"187","Nahkaparonit","Diggoo"," "," "," "," "," ","0","0"
"188","Heavenly Peace Gods from Heaven 777","Corona Storm"," "," "," "," "," ","0","0"
"189","Börsta khæisch","Ohuet Pohkeet"," "," "," "," "," ","0","0"
"190","Super Team Dynamiitti","BPC Niskalima"," "," "," "," "," ","0","0"
"191","Nettisankarit","Team Cup Hunters"," "," "," "," "," ","0","0"
"192","Terhospruits","Balotalli & kannettava"," "," "," "," "," ","0","0"
